Pit,Material,HD (km),Month,SF,Cycle (hrs),TPNOH (t/h),Cycle (min),Fixed (min),Travel (min)
MRM,Ore,2.5,Sep,0.958,0.380054259,915.011454,22.80325553,7.734,15.06925553
MRM,Ore,2.5,Oct,0.987,0.380054259,942.7101306,22.80325553,7.185,15.61825553
MRM,Ore,2.5,Nov,1.027,0.380054259,980.9152017,22.80325553,7.2715,15.53175553
MRM,Ore,2.5,Dec,1.07,0.380054259,1021.985653,22.80325553,7.2057,15.59755553
MRM,Ore,2.6,Jan,1.07,0.38502182,1008.79997,23.10130918,7.9099,15.19140918
MRM,Ore,2.6,Feb,1.07,0.38502182,1008.79997,23.10130918,8.3314,14.76990918
MRM,Ore,2.6,Mar,1.027,0.38502182,968.2594102,23.10130918,7.9672,15.13410918
MRM,Ore,2.6,Apr,0.958,0.38502182,903.2059542,23.10130918,7.9729,15.12840918
MRM,Ore,2.6,May,0.958,0.38502182,903.2059542,23.10130918,7.5509,15.55040918
MRM,Ore,2.6,Jun,0.958,0.38502182,903.2059542,23.10130918,7.74,15.36130918
MRM,Ore,2.6,Jul,0.958,0.38502182,903.2059542,23.10130918,7.7183,15.38300918
MRM,Ore,2.6,Aug,0.958,0.38502182,903.2059542,23.10130918,7.8197,15.28160918
MRM,Ore,2.6,Sep,0.958,0.38502182,903.2059542,23.10130918,7.734,15.36730918
MRM,Ore,2.6,Oct,0.987,0.38502182,930.5472618,23.10130918,7.185,15.91630918
MRM,Ore,2.6,Nov,1.027,0.38502182,968.2594102,23.10130918,7.2715,15.82980918
MRM,Ore,2.6,Dec,1.07,0.38502182,1008.79997,23.10130918,7.2057,15.89560918
MRM,Ore,2.7,Jan,1.07,0.389863169,996.272617,23.39179016,7.9099,15.48189016
MRM,Ore,2.7,Feb,1.07,0.389863169,996.272617,23.39179016,8.3314,15.06039016
MRM,Ore,2.7,Mar,1.027,0.389863169,956.2354932,23.39179016,7.9672,15.42459016
MRM,Ore,2.7,Apr,0.958,0.389863169,891.9898758,23.39179016,7.9729,15.41889016
MRM,Ore,2.7,May,0.958,0.389863169,891.9898758,23.39179016,7.5509,15.84089016
MRM,Ore,2.7,Jun,0.958,0.389863169,891.9898758,23.39179016,7.74,15.65179016
MRM,Ore,2.7,Jul,0.958,0.389863169,891.9898758,23.39179016,7.7183,15.67349016
MRM,Ore,2.7,Aug,0.958,0.389863169,891.9898758,23.39179016,7.8197,15.57209016
MRM,Ore,2.7,Sep,0.958,0.389863169,891.9898758,23.39179016,7.734,15.65779016
MRM,Ore,2.7,Oct,0.987,0.389863169,918.991657,23.39179016,7.185,16.20679016
MRM,Ore,2.7,Nov,1.027,0.389863169,956.2354932,23.39179016,7.2715,16.12029016
MRM,Ore,2.7,Dec,1.07,0.389863169,996.272617,23.39179016,7.2057,16.18609016
MRM,Ore,2.8,Jan,1.07,0.394586017,984.3481102,23.67516101,7.9099,15.76526101
MRM,Ore,2.8,Feb,1.07,0.394586017,984.3481102,23.67516101,8.3314,15.34376101
MRM,Ore,2.8,Mar,1.027,0.394586017,944.7901955,23.67516101,7.9672,15.70796101
MRM,Ore,2.8,Apr,0.958,0.394586017,881.3135417,23.67516101,7.9729,15.70226101
MRM,Ore,2.8,May,0.958,0.394586017,881.3135417,23.67516101,7.5509,16.12426101
MRM,Ore,2.8,Jun,0.958,0.394586017,881.3135417,23.67516101,7.74,15.93516101
MRM,Ore,2.8,Jul,0.958,0.394586017,881.3135417,23.67516101,7.7183,15.95686101
MRM,Ore,2.8,Aug,0.958,0.394586017,881.3135417,23.67516101,7.8197,15.85546101
